nohup: ignoring input

=== Treinando com mask_00_exec100p (18/18 blocos ativos) ===
[mask_04_exec50p] epoch 5/20 | train_loss 0.5677 acc 80.54 | val_loss 0.6133 acc 79.09 | 7.9s
[mask_04_exec50p] epoch 6/20 | train_loss 0.5308 acc 81.62 | val_loss 0.6419 acc 78.22 | 7.8s
[mask_04_exec50p] epoch 7/20 | train_loss 0.4994 acc 82.76 | val_loss 0.5900 acc 79.93 | 8.0s
[mask_04_exec50p] epoch 8/20 | train_loss 0.4756 acc 83.71 | val_loss 0.5864 acc 80.19 | 7.7s
[mask_04_exec50p] epoch 9/20 | train_loss 0.4536 acc 84.58 | val_loss 0.6142 acc 80.22 | 8.0s
[mask_04_exec50p] epoch 10/20 | train_loss 0.4396 acc 84.85 | val_loss 0.5436 acc 82.07 | 7.9s
[mask_04_exec50p] epoch 11/20 | train_loss 0.4254 acc 85.36 | val_loss 0.5110 acc 83.00 | 7.8s
[mask_04_exec50p] epoch 12/20 | train_loss 0.4152 acc 85.67 | val_loss 0.6305 acc 79.78 | 7.5s
[mask_04_exec50p] epoch 13/20 | train_loss 0.4018 acc 86.20 | val_loss 0.5203 acc 83.01 | 7.5s
[mask_04_exec50p] epoch 14/20 | train_loss 0.3954 acc 86.44 | val_loss 0.5339 acc 82.21 | 7.8s
[mask_04_exec50p] epoch 15/20 | train_loss 0.3836 acc 86.85 | val_loss 0.5338 acc 82.82 | 7.9s
[mask_04_exec50p] epoch 16/20 | train_loss 0.3770 acc 86.97 | val_loss 0.5712 acc 82.01 | 7.6s
[mask_04_exec50p] epoch 17/20 | train_loss 0.3706 acc 87.20 | val_loss 0.5381 acc 81.93 | 7.1s
[mask_04_exec50p] epoch 18/20 | train_loss 0.3660 acc 87.37 | val_loss 0.5170 acc 83.93 | 7.7s
[mask_04_exec50p] epoch 19/20 | train_loss 0.3560 acc 87.66 | val_loss 0.5683 acc 81.78 | 7.5s
[mask_04_exec50p] epoch 20/20 | train_loss 0.3502 acc 87.89 | val_loss 0.5063 acc 83.53 | 8.0s
[mask_04_exec50p] Fim. Best Val Acc = 83.93% | dir=save_mask_sweep/20250902_230826_mask_04_exec50p

=== Treinando com mask_05_exec50p (9/18 blocos ativos) ===
[mask_05_exec50p] epoch 1/20 | train_loss 1.9865 acc 33.65 | val_loss 1.5248 acc 44.18 | 7.5s
[mask_05_exec50p] epoch 2/20 | train_loss 1.2986 acc 52.56 | val_loss 1.0016 acc 64.96 | 7.8s
[mask_05_exec50p] epoch 3/20 | train_loss 0.8296 acc 70.78 | val_loss 0.7301 acc 74.93 | 7.3s
[mask_05_exec50p] epoch 4/20 | train_loss 0.6230 acc 78.30 | val_loss 0.6115 acc 78.78 | 8.0s
